Extraversion,Neuroticism,Agreeableness,Conscientiousness,Openness
0.2280288189649582,0.0108505645766854,0.2449952661991119,0.2232170552015304,0.292908251285553
0.2281982153654098,0.0108841387555003,0.2451882064342498,0.2229744344949722,0.292754977941513
0.2961100935935974,0.0438228659331798,0.3102997243404388,0.1811153590679168,0.1686519086360931
0.239420086145401,0.0199869256466627,0.2526895403861999,0.2118970900774002,0.2760063409805298
0.2961100935935974,0.0438228659331798,0.3102997243404388,0.1811153590679168,0.1686519086360931
0.2961100935935974,0.0438228659331798,0.3102997243404388,0.1811153590679168,0.1686519086360931
0.2961100935935974,0.0438228659331798,0.3102997243404388,0.1811153590679168,0.1686519086360931
0.2961100935935974,0.0438228659331798,0.3102997243404388,0.1811153590679168,0.1686519086360931
0.1467106342315673,0.2889394164085388,0.1895729750394821,0.2196974903345108,0.1550794839859008
0.1467106342315673,0.2889394164085388,0.1895729750394821,0.2196974903345108,0.1550794839859008
0.1467106342315673,0.2889394164085388,0.1895729750394821,0.2196974903345108,0.1550794839859008
0.1467106342315673,0.2889394164085388,0.1895729750394821,0.2196974903345108,0.1550794839859008
0.1467106342315673,0.2889394164085388,0.1895729750394821,0.2196974903345108,0.1550794839859008
0.1467106342315673,0.2889394164085388,0.1895729750394821,0.2196974903345108,0.1550794839859008
0.2280288189649582,0.0108505645766854,0.2449952661991119,0.2232170552015304,0.292908251285553
0.2961100935935974,0.0438228659331798,0.3102997243404388,0.1811153590679168,0.1686519086360931
0.2961100935935974,0.0438228659331798,0.3102997243404388,0.1811153590679168,0.1686519086360931
0.2313013076782226,0.3865352571010589,0.2097153067588806,0.0950404480099678,0.0774076282978057
0.2313013076782226,0.3865352571010589,0.2097153067588806,0.0950404480099678,0.0774076282978057
0.2313013076782226,0.3865352571010589,0.2097153067588806,0.0950404480099678,0.0774076282978057
0.2281982153654098,0.0108841387555003,0.2451882064342498,0.2229744344949722,0.292754977941513
0.2281982153654098,0.0108841387555003,0.2451882064342498,0.2229744344949722,0.292754977941513
0.23130130767822266,0.38653525710105896,0.20971530675888062,0.0950404480099678,0.07740762829780579
